"species","no_detections","no_countries","p_years_miss","p_years_pres","no_sampledyears"
"Gerris thoracicus",20,3,71.7,28.3,15
"Girardia tigrina",861,6,15.1,84.9,45
"Glossiphonia complanata",4725,14,9.4,90.6,48
"Glossiphonia concolor",149,5,50.9,49.1,26
"Glossiphonia nebulosa",36,3,77.4,22.6,12
"Glossiphonia paludosa",33,3,73.6,26.4,14
"Glossiphonia verrucata",25,2,75.5,24.5,13
"Glossosoma boltoni",100,5,64.2,35.8,19
"Glossosoma conformis",29,3,71.7,28.3,15
"Glossosoma intermedium",51,4,66,34,18
"Glossosoma privatum",57,1,84.9,15.1,8
"Glyphotaelius pellucidus",257,8,49.1,50.9,27
"Glyptotendipes barbipes",2,2,96.2,3.8,2
"Gnophomyia lugubris",4,1,98.1,1.9,1
"Goera pilosa",1029,13,34,66,35
"Gomphus pulchellus",15,2,75.5,24.5,13
"Gomphus vulgatissimus",366,8,50.9,49.1,26
"Gonomyia lucidula",1,1,98.1,1.9,1
"Gordius aquaticus",5,3,90.6,9.4,5
"Grammotaulius nigropunctatus",1,1,98.1,1.9,1
"Grammotaulius nitidus",1,1,98.1,1.9,1
"Graphoderus austriacus",1,1,98.1,1.9,1
"Graphoderus bilineatus",1,1,98.1,1.9,1
"Graphoderus cinereus",3,2,94.3,5.7,3
"Graptodytes bilineatus",1,1,98.1,1.9,1
"Graptodytes pictus",205,5,32.1,67.9,36
"Guadalgenus franzi",8,1,92.5,7.5,4
"Guttipelopia guttipennis",4,3,92.5,7.5,4
"Gyraulus acronicus",154,2,67.9,32.1,17
"Gyraulus albus",1569,11,26.4,73.6,39
"Gyraulus crista",562,9,43.4,56.6,30
"Gyraulus parvus",54,7,62.3,37.7,20
"Gyraulus riparius",3,2,96.2,3.8,2
"Gyraulus rossmaessleri",2,1,96.2,3.8,2
"Gyrinus aeratus",17,4,75.5,24.5,13
"Gyrinus marinus",16,4,73.6,26.4,14
"Gyrinus natator",2,2,98.1,1.9,1
"Gyrinus opacus",3,1,94.3,5.7,3
"Gyrinus paykulli",8,3,88.7,11.3,6
"Gyrinus substriatus",189,6,43.4,56.6,30
"Gyrinus urinator",38,1,71.7,28.3,15
"Habroleptoides confusa",159,5,50.9,49.1,26
"Habroleptoides modesta",1,1,98.1,1.9,1
"Habrophlebia fusca",246,7,45.3,54.7,29
"Habrophlebia lauta",125,4,49.1,50.9,27
"Haematopota crassicornis",1,1,98.1,1.9,1
"Haemopis sanguisuga",115,10,50.9,49.1,26
"Halesus digitatus",344,10,54.7,45.3,24
"Halesus radiatus",2032,10,41.5,58.5,31
"Halesus tesselatus",174,6,58.5,41.5,22
"Haliplus confinis",26,3,75.5,24.5,13
"Haliplus flavicollis",41,4,58.5,41.5,22
"Haliplus fluviatilis",302,5,37.7,62.3,33
"Haliplus fulvus",6,4,88.7,11.3,6
"Haliplus furcatus",4,2,92.5,7.5,4
"Haliplus heydeni",37,4,67.9,32.1,17
"Haliplus immaculatus",99,5,50.9,49.1,26
"Haliplus laminatus",81,5,43.4,56.6,30
"Haliplus lineatocollis",380,5,49.1,50.9,27
"Haliplus lineolatus",5,2,90.6,9.4,5
"Haliplus obliquus",10,1,84.9,15.1,8
"Haliplus ruficollis",56,8,66,34,18
"Haliplus sibiricus",75,4,41.5,58.5,31
"Haliplus variegatus",4,2,94.3,5.7,3
"Haliplus varius",1,1,98.1,1.9,1
"Haplotaxis gordioides",21,5,75.5,24.5,13
"Harnischia curtilamellata",13,1,81.1,18.9,10
"Harnischia fuscimanus",2,1,96.2,3.8,2
"Hebrus pusillus",4,2,94.3,5.7,3
"Hebrus ruficeps",1,1,98.1,1.9,1
"Heleniella ornaticollis",11,1,88.7,11.3,6
"Heleniella serratosioi",3,1,94.3,5.7,3
"Helobdella stagnalis",3091,14,24.5,75.5,40
"Helochares lividus",9,3,84.9,15.1,8
"Helochares obscurus",47,4,71.7,28.3,15
"Helophorus aequalis",44,2,54.7,45.3,24
"Helophorus alternans",1,1,98.1,1.9,1
"Helophorus aquaticus",5,2,90.6,9.4,5
"Helophorus arvernicus",14,3,86.8,13.2,7
"Helophorus brevipalpis",128,4,39.6,60.4,32
"Helophorus dorsalis",1,1,98.1,1.9,1
"Helophorus flavipes",6,3,90.6,9.4,5
"Helophorus fulgidicollis",1,1,98.1,1.9,1
"Helophorus grandis",28,3,64.2,35.8,19
"Helophorus granularis",2,2,96.2,3.8,2
"Helophorus griseus",2,2,96.2,3.8,2
"Helophorus liguricus",3,1,98.1,1.9,1
"Helophorus longitarsis",1,1,98.1,1.9,1
"Helophorus micans",1,1,98.1,1.9,1
"Helophorus minutus",22,4,69.8,30.2,16
"Helophorus montenegrinus",3,1,94.3,5.7,3
"Helophorus nubilus",1,1,98.1,1.9,1
"Helophorus obscurus",17,3,83,17,9
"Helophorus strigifrons",2,2,96.2,3.8,2
"Hemiclepsis marginata",248,11,28.3,71.7,38
"Hemimelaena flaviventris",16,1,83,17,9
"Hemimysis anomala",29,3,75.5,24.5,13
"Heptagenia dalecarlica",471,3,52.8,47.2,25
"Heptagenia flava",278,5,34,66,35
"Heptagenia longicauda",91,2,60.4,39.6,21
"Heptagenia sulphurea",2044,13,28.3,71.7,38
"Heterotanytarsus apicalis",53,1,56.6,43.4,23
"Heterotanytarsus grimshawi",1,1,98.1,1.9,1
"Heterotrissocladius maeaeri",1,1,98.1,1.9,1
"Heterotrissocladius marcidus",714,4,47.2,52.8,28
"Hexatoma bicolor",1,1,98.1,1.9,1
"Hippeutis complanatus",251,9,49.1,50.9,27
"Hirudo medicinalis",7,3,88.7,11.3,6
"Holocentropus dubius",28,6,66,34,18
"Holocentropus picicornis",27,6,67.9,32.1,17
"Holocentropus stagnalis",3,2,94.3,5.7,3
"Hydaticus seminiger",1,1,98.1,1.9,1
"Hydaticus transversalis",4,2,92.5,7.5,4
"Hydatophylax infumatus",99,5,66,34,18
"Hydraena assimilis",1,1,98.1,1.9,1
"Hydraena britteni",19,2,77.4,22.6,12
"Hydraena dentipes",1,1,98.1,1.9,1
"Hydraena excisa",4,1,92.5,7.5,4
"Hydraena gracilis",1147,7,49.1,50.9,27
"Hydraena minutissima",1,1,98.1,1.9,1
"Hydraena nigrita",11,3,88.7,11.3,6
"Hydraena palustris",7,2,86.8,13.2,7
"Hydraena pulchella",1,1,98.1,1.9,1
"Hydraena reyi",1,1,98.1,1.9,1
"Hydraena riparia",95,6,62.3,37.7,20
"Hydraena rufipes",4,1,92.5,7.5,4
"Hydraena saga",1,1,98.1,1.9,1
"Hydraena testacea",34,2,66,34,18
"Hydrobaenus lugubris",1,1,98.1,1.9,1
"Hydrobius fuscipes",158,6,34,66,35
"Hydrochara caraboides",24,4,77.4,22.6,12
"Hydrochara dichroma",1,1,98.1,1.9,1
"Hydrochara flavipes",2,1,96.2,3.8,2
"Hydrochus angustatus",1,1,98.1,1.9,1
"Hydrochus crenatus",2,2,96.2,3.8,2
"Hydrochus elongatus",2,1,98.1,1.9,1
"Hydrocyphon deflexicollis",25,1,81.1,18.9,10
"Hydroglyphus geminus",33,3,77.4,22.6,12
"Hydrometra gracilenta",4,1,94.3,5.7,3
"Hydrometra stagnorum",184,6,37.7,62.3,33
"Hydrophilus piceus",7,2,90.6,9.4,5
"Hydroporus angustatus",6,4,90.6,9.4,5
"Hydroporus discretus",1,1,98.1,1.9,1
"Hydroporus dorsalis",3,3,94.3,5.7,3
"Hydroporus erythrocephalus",4,3,96.2,3.8,2
"Hydroporus gyllenhalii",1,1,98.1,1.9,1
"Hydroporus incognitus",10,3,83,17,9
"Hydroporus melanarius",1,1,98.1,1.9,1
"Hydroporus memnonius",1,1,98.1,1.9,1
"Hydroporus nigrita",3,1,94.3,5.7,3
"Hydroporus obsoletus",1,1,98.1,1.9,1
"Hydroporus palustris",93,8,41.5,58.5,31
"Hydroporus planus",14,4,79.2,20.8,11
"Hydroporus pubescens",1,1,98.1,1.9,1
"Hydroporus tesselatus",3,2,94.3,5.7,3
"Hydroporus tristis",2,2,96.2,3.8,2
"Hydropsyche angustipennis",1746,12,26.4,73.6,39
"Hydropsyche botosaneanui",8,1,90.6,9.4,5
"Hydropsyche bulbifera",167,4,69.8,30.2,16
"Hydropsyche bulgaromanorum",130,3,54.7,45.3,24
"Hydropsyche contubernalis",480,11,20.8,79.2,42
"Hydropsyche dinarica",46,3,75.5,24.5,13
"Hydropsyche emarginata",1,1,98.1,1.9,1
"Hydropsyche exocellata",317,4,60.4,39.6,21
"Hydropsyche fulvipes",6,4,92.5,7.5,4
"Hydropsyche guttata",1,1,98.1,1.9,1
"Hydropsyche incognita",112,4,66,34,18
"Hydropsyche instabilis",185,8,41.5,58.5,31
"Hydropsyche lobata",4,1,92.5,7.5,4
"Hydropsyche modesta",155,3,69.8,30.2,16
"Hydropsyche ornatula",1,1,98.1,1.9,1
"Hydropsyche pellucidula",3409,13,30.2,69.8,37
"Hydropsyche saxonica",274,9,50.9,49.1,26
"Hydropsyche siltalai",4363,12,28.3,71.7,38
"Hydropsyche tabacarui",5,1,94.3,5.7,3
"Hydropsyche tenuis",5,2,90.6,9.4,5
"Hydropsyche valkanovi",1,1,98.1,1.9,1
"Hydroptila cornuta",2,1,96.2,3.8,2
"Hydroptila forcipata",6,1,90.6,9.4,5
"Hydroptila vectis",22,1,81.1,18.9,10
"Hygrobia hermanni",3,1,94.3,5.7,3
"Hygrotus impressopunctatus",11,4,84.9,15.1,8
"Hygrotus inaequalis",51,6,60.4,39.6,21
"Hygrotus quinquelineatus",3,2,96.2,3.8,2
"Hygrotus versicolor",139,4,34,66,35
"Hypania invalida",212,6,56.6,43.4,23
"Hyphydrus ovatus",182,5,39.6,60.4,32
"Ilybius ater",5,3,92.5,7.5,4
"Ilybius chalconatus",1,1,98.1,1.9,1
"Ilybius fenestratus",18,4,73.6,26.4,14
"Ilybius fuliginosus",44,5,60.4,39.6,21
"Ilybius quadriguttatus",3,3,94.3,5.7,3
"Ilybius vittiger",1,1,98.1,1.9,1
"Ilyocoris cimicoides",404,6,43.4,56.6,30
"Ilyodrilus templetoni",118,1,56.6,43.4,23
"Ironoquia dubia",69,5,52.8,47.2,25
"Ischnura elegans",790,6,32.1,67.9,36
"Ischnura pumilio",19,1,86.8,13.2,7
"Isogenus nubecula",1,1,98.1,1.9,1
"Isonychia ignota",4,2,92.5,7.5,4
"Isoperla difformis",359,3,54.7,45.3,24
"Isoperla grammatica",1784,10,30.2,69.8,37
"Isoperla obscura",100,4,62.3,37.7,20
"Isoperla oxylepis",3,1,96.2,3.8,2
"Isoperla pawlowskii",2,1,96.2,3.8,2
"Isoperla tripartita",7,1,86.8,13.2,7
"Isoptena serricornis",19,2,75.5,24.5,13
"Italobdella ciosi",1,1,98.1,1.9,1
"Ithytrichia lamellaris",302,12,52.8,47.2,25
"Jaera istri",360,6,52.8,47.2,25
"Jungiella longicornis",2,1,96.2,3.8,2
"Jungiella soleata",6,1,88.7,11.3,6
"Kageronia fuscogrisea",396,7,43.4,56.6,30
"Katamysis warpachowskyi",16,1,84.9,15.1,8
"Kiefferulus tendipediformis",39,1,62.3,37.7,20
"Kloosia pusilla",1,1,98.1,1.9,1
"Labiobaetis atrebatinus",11,3,86.8,13.2,7
"Labiobaetis tricolor",29,1,83,17,9
"Laccobius bipunctatus",41,5,54.7,45.3,24
"Laccobius colon",25,1,71.7,28.3,15
"Laccobius minutus",82,6,35.8,64.2,34
"Laccobius sinuatus",1,1,98.1,1.9,1
"Laccobius striatulus",7,4,86.8,13.2,7
"Laccophilus hyalinus",220,6,37.7,62.3,33
"Laccophilus minutus",70,3,54.7,45.3,24
"Laccophilus poecilus",18,1,84.9,15.1,8
"Laccornis oblongus",1,1,98.1,1.9,1
"Lekanesphaera rugicauda",2,2,96.2,3.8,2
"Lepidostoma basale",172,6,43.4,56.6,30
"Lepidostoma hirtum",2545,12,34,66,35
"Lepidurus apus",1,1,98.1,1.9,1
"Leptocerus interruptus",6,1,88.7,11.3,6
"Leptocerus tineiformis",23,6,71.7,28.3,15
"Leptophlebia marginata",972,7,37.7,62.3,33
"Lestes macrostigma",1,1,98.1,1.9,1
"Leucorrhinia pectoralis",2,1,96.2,3.8,2
"Leuctra alpina",2,1,96.2,3.8,2
"Leuctra braueri",1,1,98.1,1.9,1
"Leuctra digitata",31,3,75.5,24.5,13
"Leuctra fusca",1036,8,47.2,52.8,28
"Leuctra geniculata",790,6,47.2,52.8,28
"Leuctra hippopus",1785,7,45.3,54.7,29
"Leuctra inermis",498,3,47.2,52.8,28
"Leuctra moselyi",29,1,73.6,26.4,14
"Leuctra nigra",787,7,41.5,58.5,31
"Leuctra prima",6,1,90.6,9.4,5
"Leuctra pseudosignifera",1,1,98.1,1.9,1
"Leuctra rauscheri",5,1,90.6,9.4,5
"Libellula depressa",5,3,90.6,9.4,5
"Libellula fulva",23,2,77.4,22.6,12
"Libellula quadrimaculata",4,2,92.5,7.5,4
"Limnebius aluta",2,1,96.2,3.8,2
"Limnebius crinifer",6,2,90.6,9.4,5
"Limnebius nitidus",5,2,90.6,9.4,5
"Limnebius parvulus",1,1,98.1,1.9,1
"Limnebius truncatellus",25,4,67.9,32.1,17
"Limnephilus affinis",6,2,92.5,7.5,4
"Limnephilus auricula",23,3,79.2,20.8,11
"Limnephilus binotatus",15,5,81.1,18.9,10
"Limnephilus bipunctatus",6,4,90.6,9.4,5
"Limnephilus borealis",5,2,94.3,5.7,3
"Limnephilus centralis",11,5,79.2,20.8,11
"Limnephilus coenosus",1,1,98.1,1.9,1
"Limnephilus decipiens",22,4,71.7,28.3,15
"Limnephilus extricatus",506,5,41.5,58.5,31
"Limnephilus flavicornis",263,6,49.1,50.9,27
"Limnephilus fuscicornis",45,5,56.6,43.4,23
"Limnephilus hirsutus",1,1,98.1,1.9,1
"Limnephilus ignavus",5,1,90.6,9.4,5
"Limnephilus lunatus",2485,8,28.3,71.7,38
"Limnephilus marmoratus",130,4,64.2,35.8,19
"Limnephilus nigriceps",2,1,96.2,3.8,2
"Limnephilus politus",12,2,88.7,11.3,6
"Limnephilus rhombicus",902,10,30.2,69.8,37
"Limnephilus sericeus",1,1,98.1,1.9,1
"Limnephilus stigma",1,1,98.1,1.9,1
"Limnephilus subcentralis",1,1,98.1,1.9,1
"Limnephilus tauricus",1,1,98.1,1.9,1
"Limnephilus vittatus",12,4,79.2,20.8,11
"Limnius perrisi",65,1,45.3,54.7,29
"Limnius volckmari",3950,12,35.8,64.2,34
"Limnodrilus claparedianus",144,4,41.5,58.5,31
"Limnodrilus hoffmeisteri",441,8,30.2,69.8,37
"Limnodrilus profundicola",15,4,79.2,20.8,11
"Limnodrilus udekemianus",49,5,52.8,47.2,25
"Limnomysis benedeni",215,4,71.7,28.3,15
"Limnophila schranki",1,1,98.1,1.9,1
"Limnophora riparia",192,1,62.3,37.7,20
"Limnoporus rufoscutellatus",4,3,94.3,5.7,3
"Limnoxenus niger",6,1,92.5,7.5,4
"Limonia flavipes",1,1,98.1,1.9,1
"Lipiniella araenicola",2,1,96.2,3.8,2
"Lipiniella moderata",1,1,98.1,1.9,1
"Lithax niger",9,1,83,17,9
"Lithax obscurus",4,3,92.5,7.5,4
"Lithoglyphus naticoides",382,4,62.3,37.7,20
"Lumbricillus lineatus",1,1,98.1,1.9,1
"Lumbriculus variegatus",1425,8,28.3,71.7,38
"Lumbricus rubellus",2,1,96.2,3.8,2
"Lymnaea stagnalis",818,9,26.4,73.6,39
"Lype phaeopa",352,8,43.4,56.6,30
"Lype reducta",374,10,49.1,50.9,27
"Macronychus quadrituberculatus",153,4,56.6,43.4,23
"Macropelopia adaucta",4,1,94.3,5.7,3
"Macropelopia nebulosa",148,2,52.8,47.2,25
"Margaritifera margaritifera",9,1,84.9,15.1,8
"Marstoniopsis insubrica",21,2,75.5,24.5,13
"Megasternum obscurum",2,2,96.2,3.8,2
"Melampophylax mucoreus",28,2,69.8,30.2,16
"Menetus dilatatus",13,2,75.5,24.5,13
"Mesenchytraeus armatus",2,2,96.2,3.8,2
"Mesovelia furcata",29,4,71.7,28.3,15
"Mesovelia vittigera",4,1,92.5,7.5,4
"Metalype fragilis",39,2,67.9,32.1,17
"Metreletus balcanicus",8,1,88.7,11.3,6
"Metretopus alter",2,1,98.1,1.9,1
"Metretopus borealis",6,1,94.3,5.7,3
"Metriocnemus eurynotus",11,1,84.9,15.1,8
"Metriocnemus fuscipes",1,1,98.1,1.9,1
"Metriocnemus hirticollis",3,2,94.3,5.7,3
"Metriocnemus inopinatus",2,1,96.2,3.8,2
"Micrasema cenerentola",34,1,86.8,13.2,7
"Micrasema gelidum",168,3,58.5,41.5,22
"Micrasema longulum",83,3,54.7,45.3,24
"Micrasema minimum",21,3,69.8,30.2,16
"Micrasema moestum",62,1,71.7,28.3,15
"Micrasema servatum",25,1,84.9,15.1,8
"Micrasema setiferum",134,5,62.3,37.7,20
"Microcara testacea",2,1,96.2,3.8,2
"Microchironomus deribae",1,1,98.1,1.9,1
"Microchironomus tener",2,1,96.2,3.8,2
"Micronecta griseola",4,1,92.5,7.5,4
"Micronecta minutissima",3,2,94.3,5.7,3
"Micronecta poweri",36,3,71.7,28.3,15
"Micronecta scholtzi",17,3,79.2,20.8,11
"Micropsectra apposita",31,1,75.5,24.5,13
"Micropsectra atrofasciata",103,3,56.6,43.4,23
"Micropsectra bidentata",1,1,98.1,1.9,1
"Micropsectra lindrothi",1,1,98.1,1.9,1
"Micropsectra notescens",37,1,73.6,26.4,14
"Micropsectra recurvata",1,1,98.1,1.9,1
"Microtendipes britteni",1,1,98.1,1.9,1
"Microtendipes chloris",232,2,32.1,67.9,36
"Microtendipes diffinis",1,1,98.1,1.9,1
"Microtendipes pedellus",88,5,45.3,54.7,29
"Microvelia buenoi",3,3,94.3,5.7,3
"Microvelia pygmaea",3,2,94.3,5.7,3
"Microvelia reticulata",47,3,67.9,32.1,17
"Molanna angustata",511,7,34,66,35
"Molannodes tinctus",180,4,56.6,43.4,23
"Monodiamesa bathyphila",93,2,69.8,30.2,16
"Monodiamesa ekmani",1,1,98.1,1.9,1
"Monopelopia tenuicalcar",8,2,90.6,9.4,5
"Musculium lacustre",154,6,39.6,60.4,32
"Musculium transversum",1,1,98.1,1.9,1
"Mystacides azurea",1165,13,39.6,60.4,32
"Mystacides longicornis",278,7,43.4,56.6,30
"Mystacides nigra",156,6,37.7,62.3,33
"Mytilopsis leucophaeata",6,1,88.7,11.3,6
"Myxas glutinosa",4,3,92.5,7.5,4
"Nais alpina",2,1,96.2,3.8,2
"Nais barbata",32,3,62.3,37.7,20
"Nais behningi",7,2,86.8,13.2,7
"Nais bretscheri",23,4,62.3,37.7,20
"Nais communis",39,5,54.7,45.3,24
"Nais elinguis",82,6,39.6,60.4,32
"Nais pardalis",38,4,60.4,39.6,21
"Nais pseudobtusa",14,3,81.1,18.9,10
"Nais simplex",12,4,83,17,9
"Nais stolci",1,1,98.1,1.9,1
"Nais variabilis",34,6,58.5,41.5,22
"Nanocladius dichromus",18,1,79.2,20.8,11
"Nanocladius rectinervis",29,2,73.6,26.4,14
"Natarsia punctata",28,1,83,17,9
"Naucoris maculatus",11,1,88.7,11.3,6
"Nebrioporus assimilis",3,1,94.3,5.7,3
"Nebrioporus baeticus",3,1,94.3,5.7,3
"Nebrioporus canaliculatus",1,1,98.1,1.9,1
"Nebrioporus depressus",334,5,37.7,62.3,33
"Nebrioporus elegans",639,3,32.1,67.9,36
"Nectoporus sanmarkii",1381,5,41.5,58.5,31
"Nemotaulius punctatolineatus",3,2,94.3,5.7,3
"Nemoura avicularis",1232,6,49.1,50.9,27
"Nemoura cambrica",65,2,62.3,37.7,20
"Nemoura cinerea",2944,10,26.4,73.6,39
"Nemoura dubitans",5,2,92.5,7.5,4
"Nemoura erratica",24,1,75.5,24.5,13
"Nemoura flexuosa",370,3,49.1,50.9,27
"Nemoura marginata",3,1,94.3,5.7,3
"Nemoura mortoni",2,1,96.2,3.8,2
"Nemurella pictetii",471,8,41.5,58.5,31
"Neoephemera maxima",10,2,88.7,11.3,6
"Neolimnomyia batava",1,1,98.1,1.9,1
"Neolimnomyia filata",128,2,56.6,43.4,23
"Neomysis integer",5,2,90.6,9.4,5
"Nepa cinerea",290,9,32.1,67.9,36
"Nephrotoma analis",5,1,92.5,7.5,4
"Nephrotoma flavipalpis",1,1,98.1,1.9,1
"Neureclipsis bimaculata",402,12,35.8,64.2,34
"Nigrobaetis digitatus",90,1,62.3,37.7,20
"Nigrobaetis niger",1216,8,35.8,64.2,34
"Niphargus aquilex",14,2,83,17,9
"Niphargus hrabei",5,1,90.6,9.4,5
"Niphargus valachicus",29,1,77.4,22.6,12
"Nixe joernensis",11,3,86.8,13.2,7
"Noterus clavicornis",229,5,43.4,56.6,30
"Noterus crassicornis",178,4,37.7,62.3,33
"Notidobia ciliaris",180,8,47.2,52.8,28
"Notonecta glauca",359,8,47.2,52.8,28
"Notonecta maculata",14,5,77.4,22.6,12
"Notonecta obliqua",13,1,75.5,24.5,13
"Notonecta viridis",37,5,67.9,32.1,17
"Nymphula nitidulata",15,3,79.2,20.8,11
"Obesogammarus obesus",64,2,75.5,24.5,13
"Ochthebius bicolon",3,2,94.3,5.7,3
"Ochthebius dilatatus",7,2,94.3,5.7,3
"Ochthebius exsculptus",2,1,96.2,3.8,2
"Ochthebius minimus",9,3,88.7,11.3,6
"Odeles marginata",37,3,71.7,28.3,15
"Odhneripisidium moitessierianum",30,3,75.5,24.5,13
"Odhneripisidium tenuilineatum",5,3,92.5,7.5,4
"Odontocerum albicorne",328,8,35.8,64.2,34
"Odontocerum hellenicum",3,1,94.3,5.7,3
"Odontomesa fulva",428,3,34,66,35
"Odontomyia ornata",1,1,98.1,1.9,1
"Odontomyia tigrina",1,1,98.1,1.9,1
"Oecetis furva",68,3,49.1,50.9,27
"Oecetis lacustris",69,6,52.8,47.2,25
"Oecetis notata",30,3,73.6,26.4,14
"Oecetis ochracea",26,6,69.8,30.2,16
"Oecetis strucki",1,1,98.1,1.9,1
"Oecetis testacea",384,8,49.1,50.9,27
"Oecismus monedula",9,3,83,17,9
"Oligoneuriella rhenana",23,2,75.5,24.5,13
"Oligostomis reticulata",8,4,86.8,13.2,7
"Oligotricha striata",8,4,84.9,15.1,8
"Omphiscola glabra",17,4,71.7,28.3,15
"Onychogomphus forcipatus",164,6,60.4,39.6,21
"Onychogomphus uncatus",163,1,71.7,28.3,15
"Ophidonais serpentina",204,5,34,66,35
"Ophiogomphus cecilia",105,6,62.3,37.7,20
"Oplodontha viridula",2,2,96.2,3.8,2
"Orchestia cavimana",36,3,73.6,26.4,14
"Orectochilus villosus",1723,13,28.3,71.7,38
"Oreodytes davisii",12,1,81.1,18.9,10
"Oreodytes septentrionalis",20,1,73.6,26.4,14
"Orthetrum albistylum",53,1,73.6,26.4,14
"Orthetrum brunneum",12,1,83,17,9
"Orthetrum cancellatum",55,6,69.8,30.2,16
"Orthetrum coerulescens",17,4,83,17,9
"Orthocladius ashei",5,1,90.6,9.4,5
"Orthocladius frigidus",98,2,64.2,35.8,19
"Orthocladius glabripennis",10,1,88.7,11.3,6
"Orthocladius holsatus",1,1,98.1,1.9,1
"Orthocladius lignicola",11,2,83,17,9
"Orthocladius oblidens",8,2,86.8,13.2,7
"Orthocladius obumbratus",57,2,64.2,35.8,19
"Orthocladius pedestris",1,1,98.1,1.9,1
"Orthocladius rivicola",5,2,90.6,9.4,5
"Orthocladius rivulorum",9,2,90.6,9.4,5
"Orthocladius rubicundus",22,2,75.5,24.5,13
"Orthocladius saxosus",1,1,98.1,1.9,1
"Orthocladius thienemanni",313,2,50.9,49.1,26
"Orthocladius wetterensis",8,1,84.9,15.1,8
