"species","no_detections","no_countries","p_years_miss","p_years_pres","no_sampledyears"
"Orthotrichia costalis",7,2,88.7,11.3,6
"Osmylus fulvicephalus",2,1,96.2,3.8,2
"Otomesostoma auditivum",10,1,86.8,13.2,7
"Oulimnius major",9,1,88.7,11.3,6
"Oulimnius rivularis",17,1,71.7,28.3,15
"Oulimnius troglodytes",12,3,86.8,13.2,7
"Oulimnius tuberculatus",2079,13,30.2,69.8,37
"Oxycera morrisii",20,1,79.2,20.8,11
"Oxycera nigricornis",15,1,86.8,13.2,7
"Oxycera pardalina",3,1,94.3,5.7,3
"Oxycera pygmaea",1,1,98.1,1.9,1
"Oxycera rara",1,1,98.1,1.9,1
"Oxycera trilineata",2,1,96.2,3.8,2
"Oxyethira falcata",1,1,98.1,1.9,1
"Oxygastra curtisii",1,1,98.1,1.9,1
"Pacifastacus leniusculus",252,6,52.8,47.2,25
"Pagastiella orophila",4,1,92.5,7.5,4
"Palaemon longirostris",25,2,77.4,22.6,12
"Palaemon varians",8,1,84.9,15.1,8
"Palingenia longicauda",32,1,77.4,22.6,12
"Paludicella articulata",20,1,81.1,18.9,10
"Parachaetocladius abnobaeus",1,1,98.1,1.9,1
"Parachironomus biannulatus",11,1,90.6,9.4,5
"Parachironomus frequens",5,1,90.6,9.4,5
"Parachironomus gracilior",167,2,30.2,69.8,37
"Parachironomus mauricii",1,1,98.1,1.9,1
"Parachironomus tenuicaudatus",1,1,98.1,1.9,1
"Parachironomus vitiosus",12,2,83,17,9
"Paracladius conversus",40,4,62.3,37.7,20
"Paracladopelma camptolabis",20,2,75.5,24.5,13
"Paracladopelma laminatum",152,2,35.8,64.2,34
"Paracladopelma nigritulum",338,2,47.2,52.8,28
"Paracorixa concinna",38,5,75.5,24.5,13
"Paradelphomyia fuscula",1,1,98.1,1.9,1
"Parakiefferiella bathophila",11,2,92.5,7.5,4
"Parakiefferiella gracillima",1,1,98.1,1.9,1
"Paralauterborniella nigrohalterale",29,2,73.6,26.4,14
"Paraleptophlebia cincta",57,5,50.9,49.1,26
"Paraleptophlebia submarginata",1139,10,32.1,67.9,36
"Paraleptophlebia werneri",9,2,88.7,11.3,6
"Paralimnophyes hydrophilus",2,2,96.2,3.8,2
"Paramerina cingulata",17,1,75.5,24.5,13
"Parametriocnemus stylatus",307,4,49.1,50.9,27
"Paraphaenocladius impensus",1,1,98.1,1.9,1
"Paraphaenocladius pseudirritus",1,1,98.1,1.9,1
"Parapoynx stratiotata",42,4,67.9,32.1,17
"Parasigara transversa",4,1,92.5,7.5,4
"Paratanytarsus dissimilis",3,1,94.3,5.7,3
"Paratanytarsus tenuis",1,1,98.1,1.9,1
"Paratendipes albimanus",378,6,28.3,71.7,38
"Paratendipes nubilus",1,1,98.1,1.9,1
"Paratendipes nudisquama",1,1,98.1,1.9,1
"Paratrichocladius rufiventris",154,4,47.2,52.8,28
"Paratrissocladius excerptus",31,2,75.5,24.5,13
"Pectinatella magnifica",4,2,94.3,5.7,3
"Pedicia rivosa",34,4,73.6,26.4,14
"Peltodytes caesus",120,5,49.1,50.9,27
"Peltodytes rotundatus",5,1,90.6,9.4,5
"Peregriana labiata",1471,8,34,66,35
"Pericoma blandula",3,2,94.3,5.7,3
"Pericoma diversa",3,1,94.3,5.7,3
"Pericoma exquisita",3,1,94.3,5.7,3
"Pericoma fallax",3,2,96.2,3.8,2
"Pericoma pseudoexquisita",5,2,92.5,7.5,4
"Peringia ulvae",3,1,94.3,5.7,3
"Peripsychoda fusca",6,1,88.7,11.3,6
"Perla abdominalis",18,4,75.5,24.5,13
"Perla bipunctata",87,2,58.5,41.5,22
"Perla marginata",109,5,47.2,52.8,28
"Perlodes microcephalus",239,4,47.2,52.8,28
"Pettancylus clessinianus",220,7,49.1,50.9,27
"Phaenopsectra flavipes",1,1,98.1,1.9,1
"Phagocata vitta",16,2,79.2,20.8,11
"Phalacrocera replicata",1,1,98.1,1.9,1
"Philopotamus ludificatus",10,2,83,17,9
"Philopotamus montanus",375,8,50.9,49.1,26
"Philopotamus variegatus",1,1,98.1,1.9,1
"Phryganea bipunctata",100,5,58.5,41.5,22
"Phryganea grandis",26,4,71.7,28.3,15
"Physa fontinalis",1732,11,11.3,88.7,47
"Physella acuta",1279,10,13.2,86.8,46
"Physella gyrina",1,1,98.1,1.9,1
"Physella heterostropha",1,1,98.1,1.9,1
"Piguetiella blanci",2,2,96.2,3.8,2
"Pilaria discicollis",68,3,66,34,18
"Piscicola geometra",648,9,30.2,69.8,37
"Piscicola haranti",10,1,90.6,9.4,5
"Pisidium amnicum",765,5,35.8,64.2,34
"Pisidium casertanum",297,7,71.7,28.3,15
"Pisidium henslowanum",388,6,56.6,43.4,23
"Pisidium milium",91,2,69.8,30.2,16
"Pisidium nitidum",766,4,66,34,18
"Pisidium subtruncatum",883,5,54.7,45.3,24
"Pisidium supinum",67,4,64.2,35.8,19
"Placobdella costata",10,4,84.9,15.1,8
"Planaria torva",225,5,28.3,71.7,38
"Planorbarius corneus",492,6,34,66,35
"Planorbis carinatus",405,9,34,66,35
"Planorbis planorbis",564,7,28.3,71.7,38
"Platambus maculatus",781,12,24.5,75.5,40
"Platycnemis acutipennis",2,1,98.1,1.9,1
"Platycnemis latipes",5,1,96.2,3.8,2
"Platycnemis pennipes",752,10,34,66,35
"Plea minutissima",269,6,47.2,52.8,28
"Plectrocnemia geniculata",30,4,67.9,32.1,17
"Plectrocnemia laetabilis",12,1,86.8,13.2,7
"Plumatella emarginata",54,1,73.6,26.4,14
"Plumatella fructicosa",1,1,98.1,1.9,1
"Plumatella fungosa",11,1,81.1,18.9,10
"Plumatella repens",75,1,50.9,49.1,26
"Pneumia mutua",2,1,96.2,3.8,2
"Pneumia nublia",2,1,96.2,3.8,2
"Pneumia pilularia",84,1,64.2,35.8,19
"Pneumia trivialis",32,1,67.9,32.1,17
"Polycelis felina",463,4,43.4,56.6,30
"Polycelis nigra",431,6,30.2,69.8,37
"Polycelis tenuis",120,3,43.4,56.6,30
"Polycentropus corniger",3,1,98.1,1.9,1
"Polycentropus flavomaculatus",3989,15,26.4,73.6,39
"Polycentropus kingi",118,3,62.3,37.7,20
"Polypedilum acutum",1,1,98.1,1.9,1
"Polypedilum aegyptium",2,1,96.2,3.8,2
"Polypedilum albicorne",5,2,90.6,9.4,5
"Polypedilum bicrenatum",55,3,54.7,45.3,24
"Polypedilum convictum",8,1,86.8,13.2,7
"Polypedilum cultellatum",68,3,66,34,18
"Polypedilum exsectum",1,1,98.1,1.9,1
"Polypedilum laetum",757,3,47.2,52.8,28
"Polypedilum nubeculosum",269,4,43.4,56.6,30
"Polypedilum pedestre",23,2,73.6,26.4,14
"Polypedilum scalaenum",797,3,45.3,54.7,29
"Polypedilum sordens",63,3,49.1,50.9,27
"Polypedilum tritum",18,1,86.8,13.2,7
"Polypedilum uncinatum",22,1,75.5,24.5,13
"Pomatinus substriatus",31,4,77.4,22.6,12
"Pontastacus leptodactylus",31,1,75.5,24.5,13
"Pontogammarus robustoides",10,1,83,17,9
"Porhydrus lineatus",8,4,86.8,13.2,7
"Potamanthus luteus",213,9,32.1,67.9,36
"Potamophilus acuminatus",23,1,83,17,9
"Potamophylax cingulatus",1155,7,43.4,56.6,30
"Potamophylax latipennis",997,8,43.4,56.6,30
"Potamophylax luctuosus",8,4,86.8,13.2,7
"Potamophylax nigricornis",36,1,75.5,24.5,13
"Potamophylax rotundipennis",117,8,47.2,52.8,28
"Potamopyrgus antipodarum",5012,13,26.4,73.6,39
"Potamothrix bavaricus",9,2,90.6,9.4,5
"Potamothrix hammoniensis",202,6,37.7,62.3,33
"Potamothrix heuscheri",11,1,84.9,15.1,8
"Potamothrix moldaviensis",75,4,50.9,49.1,26
"Potamothrix vejdovskyi",3,2,94.3,5.7,3
"Potthastia gaedii",55,3,69.8,30.2,16
"Potthastia longimana",363,6,37.7,62.3,33
"Prionocera turcica",69,3,62.3,37.7,20
"Pristina aequiseta",5,2,92.5,7.5,4
"Pristina bilobata",2,1,96.2,3.8,2
"Pristina foreli",1,1,98.1,1.9,1
"Pristina longiseta",2,1,96.2,3.8,2
"Pristina rosea",3,3,94.3,5.7,3
"Proasellus coxalis",185,2,30.2,69.8,37
"Proasellus meridianus",257,5,26.4,73.6,39
"Procambarus clarkii",56,2,62.3,37.7,20
"Procladius choreus",7,2,90.6,9.4,5
"Procloeon bifidum",158,11,35.8,64.2,34
"Procloeon macronyx",6,1,92.5,7.5,4
"Procloeon pennulatum",34,4,69.8,30.2,16
"Prodiamesa olivacea",2460,9,26.4,73.6,39
"Prodiamesa rufovittata",50,2,62.3,37.7,20
"Propappus volki",92,2,60.4,39.6,21
"Prorhynchus stagnalis",1,1,98.1,1.9,1
"Prosimulium hirtipes",1,1,98.1,1.9,1
"Prosimulium latimucro",3,2,94.3,5.7,3
"Prosimulium tomosvaryi",9,4,83,17,9
"Prostoma graecense",12,2,84.9,15.1,8
"Protonemura auberti",9,2,84.9,15.1,8
"Protonemura austriaca",1,1,98.1,1.9,1
"Protonemura brevistyla",1,1,98.1,1.9,1
"Protonemura intricata",17,2,75.5,24.5,13
"Protonemura meyeri",1693,6,49.1,50.9,27
"Protonemura montana",1,1,98.1,1.9,1
"Protonemura praecox",23,2,71.7,28.3,15
"Psammoryctides albicola",38,5,54.7,45.3,24
"Psammoryctides barbatus",240,9,32.1,67.9,36
"Psammoryctides moravicus",17,3,71.7,28.3,15
"Psectrocladius obvius",5,1,92.5,7.5,4
"Psectrocladius platypus",3,1,96.2,3.8,2
"Psectrocladius psilopterus",7,1,90.6,9.4,5
"Psectrocladius sordidellus",19,1,86.8,13.2,7
"Psectrotanypus varius",126,4,32.1,67.9,36
"Pseudanodonta complanata",26,4,81.1,18.9,10
"Pseudochironomus prasinatus",7,3,86.8,13.2,7
"Pseudorthocladius curtistylus",9,2,90.6,9.4,5
"Pseudosmittia arenaria",1,1,98.1,1.9,1
"Pseudostenophylax incisus",2,1,96.2,3.8,2
"Pseudosuccinea columella",1,1,98.1,1.9,1
"Psychoda phalaenoides",2,1,96.2,3.8,2
"Psychomyia ctenophora",3,1,96.2,3.8,2
"Psychomyia pusilla",807,15,39.6,60.4,32
"Ptilocolepus granulatus",2,1,96.2,3.8,2
"Ptychoptera albimana",3,2,94.3,5.7,3
"Ptychoptera contaminata",12,2,86.8,13.2,7
"Ptychoptera lacustris",130,2,52.8,47.2,25
"Ptychoptera minuta",12,2,88.7,11.3,6
"Ptychoptera paludosa",612,1,50.9,49.1,26
"Ptychoptera scutellaris",3,1,96.2,3.8,2
"Pyrrhosoma nymphula",197,7,35.8,64.2,34
"Quistadrilus multisetosus",103,1,66,34,18
"Radix auricularia",259,6,34,66,35
"Ranatra linearis",109,6,52.8,47.2,25
"Rhabdiopteryx acuminata",5,2,90.6,9.4,5
"Rhantus exsoletus",18,3,75.5,24.5,13
"Rhantus frontalis",4,2,92.5,7.5,4
"Rhantus latitans",2,1,96.2,3.8,2
"Rhantus suturalis",10,2,84.9,15.1,8
"Rheocricotopus atripes",7,1,90.6,9.4,5
"Rheocricotopus chalybeatus",21,3,71.7,28.3,15
"Rheocricotopus effusus",18,5,81.1,18.9,10
"Rheocricotopus fuscipes",998,4,34,66,35
"Rheotanytarsus curtistylus",5,1,96.2,3.8,2
"Rhithrogena beskidensis",2,1,96.2,3.8,2
"Rhithrogena braaschi",1,1,98.1,1.9,1
"Rhithrogena germanica",41,3,66,34,18
"Rhithrogena hybrida",1,1,98.1,1.9,1
"Rhithrogena iridina",1,1,98.1,1.9,1
"Rhithrogena semicolorata",723,6,37.7,62.3,33
"Rhithropanopeus harrisii",1,1,98.1,1.9,1
"Rhyacodrilus coccineus",45,3,58.5,41.5,22
"Rhyacodrilus falciformis",2,1,96.2,3.8,2
"Rhyacophila dorsalis",1694,6,47.2,52.8,28
"Rhyacophila eatoni",4,1,92.5,7.5,4
"Rhyacophila evoluta",3,1,94.3,5.7,3
"Rhyacophila fasciata",1002,8,45.3,54.7,29
"Rhyacophila intermedia",7,1,92.5,7.5,4
"Rhyacophila laevis",2,1,96.2,3.8,2
"Rhyacophila loxias",1,1,98.1,1.9,1
"Rhyacophila martynovi",5,1,96.2,3.8,2
"Rhyacophila melpomene",6,1,96.2,3.8,2
"Rhyacophila mocsaryi",2,1,96.2,3.8,2
"Rhyacophila munda",36,2,67.9,32.1,17
"Rhyacophila nubila",2504,8,35.8,64.2,34
"Rhyacophila obliterata",23,4,75.5,24.5,13
"Rhyacophila praemorsa",6,1,90.6,9.4,5
"Rhyacophila pubescens",3,1,96.2,3.8,2
"Rhyacophila relicta",188,1,77.4,22.6,12
"Rhyacophila simulatrix",1,1,98.1,1.9,1
"Rhyacophila stigmatica",1,1,98.1,1.9,1
"Rhyacophila tristis",89,4,56.6,43.4,23
"Rhyacophila vulgaris",6,1,90.6,9.4,5
"Rhynchelmis limosella",12,4,79.2,20.8,11
"Rhynchelmis tetratheca",11,3,79.2,20.8,11
"Rhypholophus haemorrhoidalis",2,1,96.2,3.8,2
"Riolus cupreus",25,4,77.4,22.6,12
"Riolus nitens",12,3,84.9,15.1,8
"Riolus subviolaceus",161,1,56.6,43.4,23
"Ripistes parasita",10,2,84.9,15.1,8
"Robackia demeijerei",11,1,83,17,9
"Saetheria reissi",1,1,98.1,1.9,1
"Scarodytes halensis",31,4,66,34,18
"Schmidtea lugubris",817,7,15.1,84.9,45
"Schmidtea polychroa",130,6,41.5,58.5,31
"Schoenobius gigantella",19,1,73.6,26.4,14
"Scleroprocta pentagonalis",40,1,75.5,24.5,13
"Segmentina nitida",23,3,71.7,28.3,15
"Semibalanus balanoides",5,1,90.6,9.4,5
"Sericostoma flavicorne",2,1,96.2,3.8,2
"Sericostoma personatum",3219,9,32.1,67.9,36
"Serratella ignita",1849,16,24.5,75.5,40
"Setacera micans",1,1,98.1,1.9,1
"Setodes argentipunctellus",53,1,71.7,28.3,15
"Setodes punctatus",31,2,79.2,20.8,11
"Sialis fuliginosa",983,9,34,66,35
"Sialis lutaria",2019,10,26.4,73.6,39
"Sialis morio",9,2,83,17,9
"Sialis nigripes",25,5,79.2,20.8,11
"Sialis sordida",14,1,83,17,9
"Sigara distincta",45,6,52.8,47.2,25
"Sigara dorsalis",364,3,50.9,49.1,26
"Sigara falleni",235,6,26.4,73.6,39
"Sigara fossarum",97,6,47.2,52.8,28
"Sigara hellensii",5,3,94.3,5.7,3
"Sigara iactans",9,3,83,17,9
"Sigara lateralis",44,4,64.2,35.8,19
"Sigara limitata",4,3,94.3,5.7,3
"Sigara nigrolineata",15,4,73.6,26.4,14
"Sigara scotti",1,1,98.1,1.9,1
"Sigara semistriata",60,5,52.8,47.2,25
"Sigara stagnalis",3,2,94.3,5.7,3
"Sigara striata",468,6,24.5,75.5,40
"Sigara venusta",4,1,94.3,5.7,3
"Silo nigricornis",656,7,47.2,52.8,28
"Silo pallipes",1480,11,35.8,64.2,34
"Silo piceus",110,3,73.6,26.4,14
"Simulium angustipes",69,4,62.3,37.7,20
"Simulium angustitarse",285,4,56.6,43.4,23
"Simulium argyreatum",70,4,66,34,18
"Simulium armoricanum",5,1,92.5,7.5,4
"Simulium aureum",144,4,58.5,41.5,22
"Simulium balcanicum",11,3,86.8,13.2,7
"Simulium bezzii",1,1,98.1,1.9,1
"Simulium colombaschense",1,1,98.1,1.9,1
"Simulium costatum",117,3,58.5,41.5,22
"Simulium cryophilum",180,4,47.2,52.8,28
"Simulium equinum",603,5,34,66,35
"Simulium erythrocephalum",391,5,45.3,54.7,29
"Simulium intermedium",3,1,96.2,3.8,2
"Simulium latipes",5,3,94.3,5.7,3
"Simulium lineatum",175,5,37.7,62.3,33
"Simulium longirostre",6,3,90.6,9.4,5
"Simulium lundstromi",304,4,47.2,52.8,28
"Simulium monticola",7,1,86.8,13.2,7
"Simulium morsitans",37,3,58.5,41.5,22
"Simulium noelleri",87,4,50.9,49.1,26
"Simulium ornatum",2369,7,32.1,67.9,36
"Simulium posticatum",10,2,86.8,13.2,7
"Simulium pseudequinum",7,2,86.8,13.2,7
"Simulium reptans",69,5,49.1,50.9,27
"Simulium trifasciatum",129,4,47.2,52.8,28
"Simulium tuberosum",21,2,81.1,18.9,10
"Simulium variegatum",26,4,77.4,22.6,12
"Simulium velutinum",2,1,96.2,3.8,2
"Simulium vernum",1256,3,39.6,60.4,32
"Sinanodonta woodiana",73,1,75.5,24.5,13
"Siphlonurus aestivalis",30,4,67.9,32.1,17
"Siphlonurus alternatus",14,2,83,17,9
"Siphlonurus armatus",3,1,96.2,3.8,2
"Siphlonurus lacustris",57,6,56.6,43.4,23
"Siphonoperla burmeisteri",642,4,49.1,50.9,27
"Siphonoperla torrentium",669,4,45.3,54.7,29
"Sisyra dalii",1,1,98.1,1.9,1
"Sisyra nigra",12,3,79.2,20.8,11
"Sisyra terminalis",1,1,98.1,1.9,1
"Slavina appendiculata",74,5,58.5,41.5,22
"Somatochlora flavomaculata",5,2,90.6,9.4,5
"Somatochlora metallica",99,7,54.7,45.3,24
"Specaria josinae",7,2,90.6,9.4,5
"Spercheus emarginatus",10,2,83,17,9
"Sphaerium corneum",2588,9,13.2,86.8,46
"Sphaerium nucleus",3,2,96.2,3.8,2
"Sphaerium ovale",5,1,90.6,9.4,5
"Sphaerium rivicola",93,4,67.9,32.1,17
"Sphaerium solidum",22,2,73.6,26.4,14
"Spirosperma ferox",1,1,98.1,1.9,1
"Spongilla lacustris",213,3,39.6,60.4,32
"Stagnicola corvus",25,3,71.7,28.3,15
"Stagnicola fuscus",7,2,90.6,9.4,5
"Stagnicola palustris",326,7,47.2,52.8,28
"Stagnicola turricula",14,2,81.1,18.9,10
"Stempellina bausei",2,1,96.2,3.8,2
"Stempellinella brevis",6,2,88.7,11.3,6
"Stempellinella minor",11,1,88.7,11.3,6
"Stenelmis canaliculata",28,5,67.9,32.1,17
"Stenochironomus gibbus",1,1,98.1,1.9,1
"Stenophylax lateralis",52,6,56.6,43.4,23
"Stenophylax nycterobius",6,1,88.7,11.3,6
"Stenophylax permistus",25,6,69.8,30.2,16
"Stenophylax sequax",512,7,47.2,52.8,28
"Stictotarsus duodecimpustulatus",97,5,30.2,69.8,37
"Stratiomys longicornis",3,1,98.1,1.9,1
"Stylaria lacustris",391,10,24.5,75.5,40
"Stylodrilus heringianus",302,12,45.3,54.7,29
"Stylodrilus parvus",1,1,98.1,1.9,1
"Stylurus flavipes",173,2,71.7,28.3,15
"Succinea putris",13,2,83,17,9
"Sympecma fusca",1,1,98.1,1.9,1
"Sympetrum depressiusculum",4,1,92.5,7.5,4
"Sympetrum meridionale",1,1,98.1,1.9,1
"Sympetrum pedemontanum",5,2,90.6,9.4,5
"Sympetrum sanguineum",3,2,94.3,5.7,3
"Sympetrum striolatum",3,2,94.3,5.7,3
"Sympetrum vulgatum",2,1,96.2,3.8,2
"Synorthocladius semivirens",164,5,45.3,54.7,29
"Synurella ambulans",76,1,75.5,24.5,13
"Taeniopteryx nebulosa",1102,8,45.3,54.7,29
"Taeniopteryx schoenemundi",4,1,92.5,7.5,4
"Tanypus kraatzi",29,2,69.8,30.2,16
"Tanypus punctipennis",6,3,92.5,7.5,4
"Tanypus vilipennis",2,1,96.2,3.8,2
"Tanytarsus brundini",1,1,98.1,1.9,1
"Tanytarsus eminulus",2,1,96.2,3.8,2
"Tanytarsus pallidicornis",1,1,98.1,1.9,1
"Tanytarsus usmaensis",1,1,98.1,1.9,1
"Teloganopsis mesoleuca",1,1,98.1,1.9,1
"Tetanocera ferruginea",1,1,98.1,1.9,1
"Theodoxus danubialis",57,2,75.5,24.5,13
"Theodoxus fluviatilis",871,11,32.1,67.9,36
"Theodoxus prevostianus",1,1,98.1,1.9,1
"Theodoxus transversalis",14,1,79.2,20.8,11
"Theromyzon maculosum",3,2,94.3,5.7,3
"Theromyzon tessulatum",548,8,28.3,71.7,38
"Thienemanniella clavicornis",2,2,96.2,3.8,2
"Thienemanniella flaviforceps",8,1,86.8,13.2,7
"Thienemanniella majuscula",3,1,94.3,5.7,3
"Thraulus bellus",19,2,77.4,22.6,12
"Tinodes assimilis",2,2,96.2,3.8,2
"Tinodes dives",1,1,98.1,1.9,1
"Tinodes maclachlani",1,1,98.1,1.9,1
"Tinodes maculicornis",1,1,98.1,1.9,1
"Tinodes pallidulus",79,3,50.9,49.1,26
"Tinodes rostocki",9,4,83,17,9
"Tinodes unicolor",49,5,71.7,28.3,15
"Tinodes waeneri",643,10,35.8,64.2,34
"Tipula couckei",105,1,67.9,32.1,17
"Tipula fulvipennis",1,1,98.1,1.9,1
"Tipula grisescens",1,1,98.1,1.9,1
"Tipula laetabilis",1,1,98.1,1.9,1
"Tipula lateralis",120,2,64.2,35.8,19
"Tipula luna",1,1,98.1,1.9,1
"Tipula lunata",1,1,98.1,1.9,1
"Tipula maxima",43,3,54.7,45.3,24
"Tipula montium",66,1,67.9,32.1,17
"Tipula oleracea",2,1,96.2,3.8,2
"Tipula paludosa",3,1,94.3,5.7,3
"Tipula pierrei",1,1,98.1,1.9,1
"Tipula subcunctans",1,1,98.1,1.9,1
"Tipula subnodicornis",1,1,98.1,1.9,1
"Tipula unca",6,1,92.5,7.5,4
"Tipula variicornis",2,1,96.2,3.8,2
"Tipula varipennis",1,1,98.1,1.9,1
"Tipula vittata",4,1,94.3,5.7,3
"Tonnoiriella pulchra",9,2,84.9,15.1,8
"Torleya major",159,4,47.2,52.8,28
"Triaenodes bicolor",253,7,45.3,54.7,29
"Tribelos intextus",8,2,84.9,15.1,8
"Tricholeiochiton fagesii",1,1,98.1,1.9,1
"Trichostegia minor",1,1,98.1,1.9,1
"Trissopelopia longimana",97,2,69.8,30.2,16
"Trocheta bykowskii",37,1,71.7,28.3,15
"Trocheta pseudodina",14,2,79.2,20.8,11
"Trocheta subviridis",82,1,64.2,35.8,19
"Tubifex ignotus",133,3,54.7,45.3,24
"Tubifex tubifex",113,7,35.8,64.2,34
"Tvetenia bavarica",2,1,96.2,3.8,2
"Tvetenia calvescens",129,4,66,34,18
"Tvetenia verralli",382,1,58.5,41.5,22
"Ulomyia annulata",1,1,98.1,1.9,1
"Ulomyia fuliginosa",10,2,86.8,13.2,7
"Uncinais uncinata",34,4,66,34,18
"Unio crassus",135,5,67.9,32.1,17
"Unio pictorum",207,7,41.5,58.5,31
"Unio tumidus",176,6,69.8,30.2,16
"Valvata cristata",625,8,35.8,64.2,34
"Valvata macrostoma",22,6,67.9,32.1,17
"Valvata piscinalis",1458,10,24.5,75.5,40
"Valvata studeri",1,1,98.1,1.9,1
"Vanoyia tenuicornis",9,1,92.5,7.5,4
"Vejdovskyella comata",5,3,90.6,9.4,5
"Vejdovskyella intermedia",1,1,98.1,1.9,1
"Velia caprai",209,5,47.2,52.8,28
"Velia saulii",10,3,84.9,15.1,8
"Viviparus acerosus",211,1,71.7,28.3,15
"Viviparus contectus",100,6,64.2,35.8,19
"Viviparus viviparus",288,7,24.5,75.5,40
"Wormaldia lusitanica",1,1,98.1,1.9,1
"Wormaldia occipitalis",36,6,64.2,35.8,19
"Wormaldia subnigra",62,4,67.9,32.1,17
"Xanthoperla apicalis",1,1,98.1,1.9,1
"Xenochironomus xenolabis",7,4,88.7,11.3,6
"Ylodes simulans",1,1,98.1,1.9,1
"Zavreliella marmorata",5,1,92.5,7.5,4
"Zavrelimyia barbatipes",32,1,77.4,22.6,12
"Zonitoides nitidus",2,1,98.1,1.9,1
"Zwicknia bifrons",110,6,62.3,37.7,20
